*******************************************************************************
Database: 11702002
Sequence: CG5-1702-002
File size: 179712
Database effective from 02 FEB 2017 to 02 MAR 2017
Report compiled on Monday Dec 25 2023
OneNav+ Version: 1.18.0
*******************************************************************************
HONEYWELL PROPRIETARY AND CONFIDENTIAL
COPYRIGHT © 2011-2023
HONEYWELL INTERNATIONAL INC.
UNPUBLISHED WORK. ALL RIGHTS RESERVED 
*******************************************************************************
Summary
-------------------------
Table Name,Record Count
Airports,97
Airways,2135
Airway Legs,17205
Alternates,0
Company Routes,0
Company Route Legs,0
FuelPolicy,8
Airline Policy,0
HoldingPatterns,0
Gates,0
GridMORA,0
Navaids,1131
NDBs,264
Procedures ,5146
Procedure Legs,21583
Runways,286
Waypoints,9082

Airports
-------------------------
Ident,RevCode,Latitude,Longitude,MagVar,Elevation,SpeedLimitCoded,SpeedLimit,SpeedLimitAltitude,TransAltitude,ProceduresExist,RunwaysExist,GatesExist,AlternatesExist,ICAO,MaxRunwayLength,SIDs,STARs,Approaches,EOSIDs
M6,B,OBEVI,WPT,N59-26-08.03,E020-55-23.00,,
M6,B,NISIX,WPT,N59-19-07.03,E020-25-54.02,,
M6,B,SVD,VOR,N56-10-07.93,E012-34-25.64,,
M6,B,*EOA*, ,,,,
M600,B,KRK,VOR,N39-26-37.89,E020-04-21.98,,
M600,B,PARAX,WPT,N39-33-36.03,E020-24-35.00,,
M600,B,YNN,VOR,N39-42-00.15,E020-49-16.76,,
M600,B,PIKOS,WPT,N39-57-42.03,E021-33-00.02,,
M600,B,KOGIS,WPT,N40-07-12.96,E021-59-48.00,,
M600,B,LOPOS,WPT,N40-17-27.01,E022-30-01.00,,
M600,B,ELPIS,WPT,N40-19-34.00,E022-36-11.02,,
M600,B,TSL,VOR,N40-27-24.52,E022-59-27.81,,
M600,B,*EOA*, ,,,,
M602,B,VAVUN,WPT,N53-28-31.03,E015-19-58.99,,
M602,B,IRGET,WPT,N53-40-10.97,E014-36-52.97,,
M602,B,BINKA,WPT,N53-45-34.02,E014-16-31.99,,
M602,B,USEDU,WPT,N53-57-10.80,E013-58-00.01,,
M602,B,PENET,WPT,N54-06-01.02,E013-43-44.03,,
M602,B,KOGIM,WPT,N54-19-00.99,E013-32-38.00,,
M602,B,NONSA,WPT,N54-35-55.02,E013-18-01.01,,
M602,B,BANKU,WPT,N54-47-45.01,E012-56-07.03,,
M602,B,SONAL,WPT,N54-52-44.03,E012-46-48.99,,
M602,B,CDA,VOR,N55-00-05.42,E012-22-45.16,,
M602,B,ROBUS,WPT,N55-06-33.98,E011-43-11.03,,
M602,B,ODN,VOR,N55-34-51.65,E010-39-10.74,,
M602,B,LUTUS,WPT,N56-06-02.97,E009-59-40.01,,
M602,B,*EOA*, ,,,,
M607,B,MALOX,WPT,N54-14-38.97,E016-52-53.02,,
M607,B,RIVDI,WPT,N55-11-39.03,E017-04-19.98,,
M607,B,PENOR,WPT,N55-38-18.98,E017-09-41.02,,
M607,B,TESPO,WPT,N56-20-16.02,E017-13-42.96,,
M607,B,ARMOD,WPT,N57-30-02.61,E017-20-46.13,,
M607,B,INGIS,WPT,N58-36-40.17,E017-27-55.39,,
M607,B,TRS,VOR,N58-56-16.50,E017-30-08.03,,
M607,B,*EOA*, ,,,,
M609,B,PIPEX,WPT,N58-50-50.13,E009-02-32.15,,
M609,B,ULMUG,WPT,N59-11-16.90,E009-34-13.06,,
M609,B,RIPAM,WPT,N59-19-40.01,E009-45-00.01,,
M609,B,GIMEX,WPT,N60-17-29.59,E010-14-20.01,,
M609,B,*EOA*, ,,,,
M611,B,BALTI,WPT,N59-54-15.04,E025-15-06.00,,
M611,B,INTOR,WPT,N59-49-40.04,E025-11-12.02,,
M611,B,SORPA,WPT,N59-37-01.00,E024-50-49.04,,
M611,B,LONSA,WPT,N59-04-55.99,E023-50-04.03,,
M611,B,LOGNA,WPT,N57-50-35.02,E021-39-36.99,,
M611,B,EVONA,WPT,N57-09-53.99,E019-55-28.97,,
M611,B,KOLJA,WPT,N56-00-00.00,E016-48-52.78,,
M611,B,ELVIX,WPT,N55-24-42.71,E014-05-39.17,,
M611,B,MALIV,WPT,N55-09-45.79,E013-02-12.72,,
M611,B,ODARU,WPT,N55-05-45.01,E012-45-41.01,,
M611,B,CDA,VOR,N55-00-05.42,E012-22-45.16,,
M611,B,LUPUR,WPT,N54-59-28.04,E012-03-03.04,,
M611,B,KOPEX,WPT,N54-58-13.03,E011-28-03.99,,
M611,B,LANGO,WPT,N54-56-44.27,E010-51-22.74,,
M611,B,ALASA,WPT,N54-48-30.97,E009-57-41.98,,
M611,B,LISBU,WPT,N54-43-15.03,E009-41-38.00,,
M611,B,DEGUL,WPT,N54-38-47.98,E009-28-09.99,,
M611,B,*EOA*, ,,,,
M612,B,DOBAN,WPT,N59-47-57.99,E024-27-08.99,,
M612,B,PIVUN,WPT,N58-20-27.01,E024-54-15.98,,
M612,B,DOLAT,WPT,N58-00-38.01,E024-59-01.03,,
M612,B,*EOA*, ,,,,
M620,B,VEXUV,WPT,N40-42-21.98,E013-17-59.00,,
M620,B,SOR,VOR,N40-34-56.80,E014-20-06.12,,
M620,B,*EOA*, ,,,,
M621,B,BETEN,WPT,N43-33-11.04,E009-46-05.97,,
M621,B,GILIO,WPT,N42-22-00.02,E010-55-34.02,,
M621,B,*EOA*, ,,,,
M628,B,LUDID,WPT,N23-02-27.03,E055-18-00.02,,
M628,B,LABSA,WPT,N23-01-53.04,E055-55-04.98,,
M628,B,EGVAN,WPT,N23-01-27.00,E056-19-07.04,,
M628,B,TULBU,WPT,N23-00-04.97,E057-18-26.99,,
M628,B,IZK,VOR,N22-53-18.57,E057-45-42.71,,
M628,B,TOLDA,WPT,N22-40-08.02,E058-36-24.03,,
M628,B,LOXOP,WPT,N22-37-22.01,E059-45-47.98,,
M628,B,LOSIM,WPT,N22-35-13.01,E060-32-38.02,,
M628,B,IVOMA,WPT,N22-34-07.96,E060-54-29.99,,
M628,B,PARAR,WPT,N22-26-29.96,E063-07-00.01,,
M628,B,*EOA*, ,,,,
M638,B,PG,VOR,N26-57-10.19,E064-08-13.06,,
M638,B,DOSTI,WPT,N25-58-00.98,E065-03-01.03,,
M638,B,KAJAL,WPT,N25-11-57.98,E066-36-35.00,,
M638,B,KC,VOR,N24-54-43.10,E067-10-54.03,,
M638,B,NANSI,WPT,N24-35-00.00,E067-26-00.00,,
M638,B,MINAR,WPT,N23-50-02.02,E068-00-01.03,,
M638,B,SAPNA,WPT,N23-30-01.98,E067-50-00.97,,
M638,B,NOBAT,WPT,N21-09-02.52,E068-00-00.10,,
M638,B,BIDIX,WPT,N20-46-23.81,E069-28-38.45,,
M638,B,EXOLU,WPT,N20-12-49.81,E071-34-10.40,,
M638,B,BBB,VOR,N19-05-10.75,E072-52-29.14,,
M638,B,*EOA*, ,,,,
M66,B,EVINA,WPT,N51-23-16.00,E020-21-36.02,,
M66,B,NEGUV,WPT,N50-54-53.00,E020-06-57.02,,
M66,B,KUKAM,WPT,N50-48-21.97,E020-03-38.03,,
M66,B,BABKO,WPT,N49-36-41.98,E019-28-10.01,,
M66,B,*EOA*, ,,,,
M677,B,SESRA,WPT,N29-08-03.03,E048-54-52.98,,
M677,B,RETEL,WPT,N28-52-35.98,E049-10-47.99,,
M677,B,RABAP,WPT,N28-36-25.21,E049-27-22.09,,
M677,B,PASAK,WPT,N28-24-59.87,E049-48-46.64,,
M677,B,GOGMA,WPT,N28-14-21.03,E049-56-11.97,,
M677,B,IVIVI,WPT,N27-37-33.99,E050-24-36.98,,
M677,B,VEDOR,WPT,N27-08-55.00,E050-46-30.04,,
M677,B,TOSDA,WPT,N27-00-04.85,E050-56-29.48,,
M677,B,TORBO,WPT,N26-52-22.68,E051-10-24.29,,
M677,B,SOGAN,WPT,N26-39-14.98,E051-54-08.01,,
M677,B,DEGSO,WPT,N26-10-53.99,E053-19-45.98,,
M677,B,OBNET,WPT,N26-00-31.99,E053-45-14.02,,
M677,B,NOKMA,WPT,N25-54-23.99,E053-57-49.03,,
M677,B,ITITA,WPT,N25-44-10.02,E054-18-38.98,,
M677,B,DESDI,WPT,N25-36-02.98,E054-42-29.99,,
M677,B,RAGOL,WPT,N25-27-43.03,E055-07-39.02,,
M677,B,SERSA,WPT,N25-19-45.02,E055-31-17.98,,
M677,B,TUKLA,WPT,N25-19-35.98,E055-40-09.99,,
M677,B,NADNI,WPT,N25-19-15.20,E055-56-58.92,,
M677,B,LALDO,WPT,N25-18-05.99,E056-36-00.00,,
M677,B,*EOA*, ,,,,
M681,B,TARBO,WPT,N24-43-50.97,E057-46-37.02,,
M681,B,DAMUM,WPT,N24-32-35.98,E059-13-06.98,,
M681,B,*EOA*, ,,,,
M691,B,EMENI,WPT,N27-32-33.96,E047-38-48.03,,
M691,B,KEDAT,WPT,N27-21-49.02,E047-59-00.97,,
M691,B,BOROP,WPT,N26-53-16.98,E048-52-03.03,,
M691,B,KUSAR,WPT,N26-47-41.03,E049-02-18.00,,
M691,B,KFA,VOR,N26-21-52.99,E049-49-09.97,,
M691,B,LADNA,WPT,N26-27-49.33,E050-22-44.67,,
M691,B,*EOA*, ,,,,
M70,B,BABEN,WPT,N54-23-16.99,E015-14-30.99,,
M70,B,ARKUG,WPT,N53-30-23.97,E016-50-17.98,,
M70,B,ERPAB,WPT,N52-38-06.02,E018-19-09.00,,
M70,B,POLON,WPT,N51-48-00.00,E019-39-21.99,,
M70,B,SOMOX,WPT,N51-28-04.98,E022-26-34.98,,
M70,B,TOLPA,WPT,N51-18-10.02,E023-38-45.02,,
M70,B,OKROT,WPT,N50-42-25.01,E027-20-56.03,,
M70,B,LAPVA,WPT,N50-27-22.99,E028-41-32.97,,
M70,B,SLV,VOR,N50-11-12.53,E029-34-12.47,,
M70,B,BEMBI,WPT,N50-04-28.98,E029-55-58.96,,
M70,B,DEMER,WPT,N49-32-23.97,E031-36-49.00,,
M70,B,NIKIG,WPT,N49-25-00.03,E031-59-48.02,,
M70,B,DEKAD,WPT,N48-57-00.00,E033-22-00.00,,
M70,B,ORSUS,WPT,N48-38-45.99,E034-16-37.97,,
M70,B,DNP,VOR,N48-21-35.43,E035-06-11.00,,
M70,B,*EOA*, ,,,,
M725,1,AAL,VOR,N57-06-13.37,E009-59-44.10,,
M725,1,ADSEN,WPT,N56-08-40.87,E010-53-02.23,,
M725,1,CDA,VOR,N55-00-05.42,E012-22-45.16,,
M725,1,SONAL,WPT,N54-52-44.03,E012-46-48.99,,
M725,1,BANKU,WPT,N54-47-45.01,E012-56-07.03,,
M725,1,NONSA,WPT,N54-35-55.02,E013-18-01.01,,
M725,1,KOGIM,WPT,N54-19-00.99,E013-32-38.00,,
M725,1,LABES,WPT,N54-11-34.97,E013-34-35.03,,
M725,1,MASOR,WPT,N53-55-26.98,E013-38-45.01,,
M725,1,UDAXI,WPT,N53-45-44.99,E013-42-14.96,,
M725,1,RODEP,WPT,N53-41-09.99,E013-43-52.99,,
M725,1,RAKIT,WPT,N53-10-43.01,E013-54-40.02,,
M725,1,RENKI,WPT,N52-54-53.02,E013-57-42.01,,
M725,1,GERGA,WPT,N52-36-08.99,E014-01-41.02,,
M725,1,TUVAK,WPT,N52-23-59.23,E014-04-14.74,,
M725,1,GORIG,WPT,N52-19-00.00,E014-05-17.00,,
M725,1,BESKO,WPT,N52-14-43.97,E014-06-11.00,,
M725,1,LUROS,WPT,N51-53-55.03,E014-10-28.00,,
M725,1,EBASA,WPT,N51-48-15.99,E014-11-36.98,,
M725,1,KOBUS,WPT,N51-30-47.97,E014-15-09.03,,
M725,1,BUSIR,WPT,N51-07-15.04,E014-19-50.98,,
M725,1,HDO,VOR,N50-55-41.35,E014-22-07.71,,
M725,1,RAVKU,WPT,N50-46-00.53,E014-25-43.85,,
M725,1,ODLIV,WPT,N50-40-13.38,E014-27-52.39,,
M725,1,GOLOP,WPT,N50-35-08.71,E014-29-44.63,,
M725,1,BAVIN,WPT,N49-56-42.10,E014-43-41.76,,
M725,1,VOZ,VOR,N49-31-56.40,E014-52-28.82,,
M725,1,TABEM,WPT,N49-14-35.95,E015-13-17.30,,
M725,1,OKF,VOR,N48-58-09.03,E015-32-44.05,,
M725,1,LANUX,WPT,N48-53-17.19,E015-36-56.88,,
M725,1,*DIS*0, ,,,,
M725,1,XOLTA,WPT,N42-42-13.96,E015-44-54.04,,
M725,1,RUPAX,WPT,N42-18-03.02,E015-28-18.01,,
M725,1,MOLUX,WPT,N41-18-23.99,E014-48-25.03,,
M725,1,SOR,VOR,N40-34-56.80,E014-20-06.12,,
M725,1,*EOA*, ,,,,
M725,2,AAL,VOR,N57-06-13.37,E009-59-44.10,,
M725,2,ADSEN,WPT,N56-08-40.87,E010-53-02.23,,
M725,2,INPUN,WPT,N55-47-04.04,E011-22-10.96,,
M725,2,OSDEX,WPT,N55-12-12.02,E012-07-22.97,,
M725,2,CDA,VOR,N55-00-05.42,E012-22-45.16,,
M725,2,SONAL,WPT,N54-52-44.03,E012-46-48.99,,
M725,2,BANKU,WPT,N54-47-45.01,E012-56-07.03,,
M725,2,NONSA,WPT,N54-35-55.02,E013-18-01.01,,
M725,2,KOGIM,WPT,N54-19-00.99,E013-32-38.00,,
M725,2,LABES,WPT,N54-11-34.97,E013-34-35.03,,
M725,2,MASOR,WPT,N53-55-26.98,E013-38-45.01,,
M725,2,UDAXI,WPT,N53-45-44.99,E013-42-14.96,,
M725,2,RODEP,WPT,N53-41-09.99,E013-43-52.99,,
M725,2,RAKIT,WPT,N53-10-43.01,E013-54-40.02,,
M725,2,RENKI,WPT,N52-54-53.02,E013-57-42.01,,
M725,2,GERGA,WPT,N52-36-08.99,E014-01-41.02,,
M725,2,TUVAK,WPT,N52-23-59.23,E014-04-14.74,,
M725,2,GORIG,WPT,N52-19-00.00,E014-05-17.00,,
M725,2,BESKO,WPT,N52-14-43.97,E014-06-11.00,,
M725,2,LUROS,WPT,N51-53-55.03,E014-10-28.00,,
M725,2,EBASA,WPT,N51-48-15.99,E014-11-36.98,,
M725,2,KOBUS,WPT,N51-30-47.97,E014-15-09.03,,
M725,2,BUSIR,WPT,N51-07-15.04,E014-19-50.98,,
M725,2,HDO,VOR,N50-55-41.35,E014-22-07.71,,
M725,2,RAVKU,WPT,N50-46-00.53,E014-25-43.85,,
M725,2,ODLIV,WPT,N50-40-13.38,E014-27-52.39,,
M725,2,GOLOP,WPT,N50-35-08.71,E014-29-44.63,,
M725,2,BAVIN,WPT,N49-56-42.10,E014-43-41.76,,
M725,2,VOZ,VOR,N49-31-56.40,E014-52-28.82,,
M725,2,TABEM,WPT,N49-14-35.95,E015-13-17.30,,
M725,2,OKF,VOR,N48-58-09.03,E015-32-44.05,,
M725,2,LANUX,WPT,N48-53-17.19,E015-36-56.88,,
M725,2,*DIS*0, ,,,,
M725,2,XOLTA,WPT,N42-42-13.96,E015-44-54.04,,
M725,2,RUPAX,WPT,N42-18-03.02,E015-28-18.01,,
M725,2,MOLUX,WPT,N41-18-23.99,E014-48-25.03,,
M725,2,SOR,VOR,N40-34-56.80,E014-20-06.12,,
M725,2,*EOA*, ,,,,
M727,B,ODINA,WPT,N46-06-16.01,E008-39-53.98,,
M727,B,SRN,VOR,N45-38-45.46,E009-01-17.68,,
M727,B,EKPAL,WPT,N44-29-02.97,E010-09-45.01,,
M727,B,RUXOL,WPT,N44-06-55.00,E010-35-34.99,,
M727,B,OSMOX,WPT,N43-50-14.03,E010-54-46.98,,
M727,B,AMTEL,WPT,N43-13-13.01,E011-36-30.96,,
M727,B,TAQ,VOR,N42-12-54.19,E011-43-57.38,,
M727,B,TORLI,WPT,N41-35-47.99,E012-01-06.01,,
M727,B,PEPIX,WPT,N41-09-36.00,E012-11-18.97,,
M727,B,*EOA*, ,,,,
M728,B,DOKAR,WPT,N42-30-02.97,E009-45-00.01,,
M728,B,KISTO,WPT,N42-19-50.01,E010-22-58.96,,
M728,B,VELAD,WPT,N42-03-06.02,E010-45-49.03,,
M728,B,MAMAR,WPT,N41-48-13.97,E011-05-51.00,,
M728,B,ROTUN,WPT,N40-53-00.00,E012-18-19.96,,
M728,B,*EOA*, ,,,,
M729,B,PIMOT,WPT,N45-30-15.01,E007-43-11.99,,
M729,B,TONDA,WPT,N45-06-33.04,E008-13-47.01,,
M729,B,DEVOX,WPT,N44-41-46.02,E008-44-48.99,,
M729,B,GEN,VOR,N44-25-27.99,E009-04-56.37,,
M729,B,LUKIM,WPT,N44-08-23.99,E009-18-31.02,,
M729,B,IDONA,WPT,N43-59-06.03,E009-25-51.02,,
M729,B,SPEZI,WPT,N43-46-34.03,E009-35-40.96,,
M729,B,BETEN,WPT,N43-33-11.04,E009-46-05.97,,
M729,B,NORNI,WPT,N43-16-43.97,E009-58-47.02,,
M729,B,ELB,VOR,N42-43-50.52,E010-23-44.62,,
M729,B,GILIO,WPT,N42-22-00.02,E010-55-34.02,,
M729,B,MEDAL,WPT,N42-03-09.96,E011-22-34.99,,
M729,B,RAVAL,WPT,N41-48-16.98,E011-43-37.99,,
M729,B,LUNAK,WPT,N41-42-11.98,E011-52-14.00,,
M729,B,ELVIN,WPT,N41-29-37.97,E012-09-41.02,,
M729,B,RIFFI,WPT,N41-13-27.97,E012-31-56.01,,
M729,B,PNZ,VOR,N40-54-42.71,E012-57-26.67,,
M729,B,VEXUV,WPT,N40-42-21.98,E013-17-59.00,,
M729,B,*EOA*, ,,,,
M730,B,KUMIN,WPT,N44-57-58.03,E007-20-54.99,,
M730,B,KODOK,WPT,N44-56-32.98,E007-40-11.00,,
M730,B,TOP,VOR,N44-55-31.49,E007-51-41.98,,
M730,B,TESTO,WPT,N44-35-49.98,E008-39-55.99,,
M730,B,GEN,VOR,N44-25-27.99,E009-04-56.37,,
M730,B,KALMO,WPT,N44-19-17.97,E009-35-39.03,,
M730,B,MIVKI,WPT,N44-13-27.04,E010-04-14.01,,
M730,B,BEROK,WPT,N44-09-55.99,E010-21-06.03,,
M730,B,RUXOL,WPT,N44-06-55.00,E010-35-34.99,,
M730,B,BALUK,WPT,N44-05-54.98,E010-40-10.99,,
M730,B,FRZ,VOR,N44-01-38.21,E011-00-12.50,,
M730,B,VABMO,WPT,N43-55-18.00,E011-37-26.97,,
M730,B,BAGNO,WPT,N43-53-25.99,E011-48-07.97,,
M730,B,PIDEP,WPT,N43-49-03.97,E012-13-03.02,,
M730,B,LIKNO,WPT,N43-47-37.99,E012-20-54.00,,
M730,B,ASDOR,WPT,N43-47-05.00,E012-23-59.00,,
M730,B,SORUG,WPT,N43-40-43.01,E012-58-56.97,,
M730,B,BIDMA,WPT,N43-39-42.99,E013-04-17.01,,
M730,B,ANC,VOR,N43-35-11.24,E013-28-15.98,,
M730,B,KEGED,WPT,N43-34-43.97,E013-50-15.99,,
M730,B,LISKO,WPT,N43-34-17.01,E014-07-55.98,,
M730,B,TORPO,WPT,N43-33-50.98,E014-25-29.02,,
M730,B,ELGUS,WPT,N43-32-52.04,E014-58-00.00,,
M730,B,UMSON,WPT,N43-31-08.99,E015-46-03.02,,
M730,B,SPL,VOR,N43-29-47.72,E016-18-16.99,,
M730,B,VELIT,WPT,N43-21-05.99,E017-16-38.01,,
M730,B,BARIT,WPT,N43-15-40.01,E017-51-20.99,,
M730,B,*EOA*, ,,,,
M736,B,RASMU,WPT,N56-45-30.23,E013-48-55.03,,
M736,B,NEXIL,WPT,N56-20-20.89,E013-43-59.17,,
M736,B,MAXUM,WPT,N55-39-40.48,E013-36-14.37,,
M736,B,ALM,VOR,N55-24-40.70,E013-33-27.13,,
M736,B,SIMEG,WPT,N55-15-00.11,E013-30-04.28,,
M736,B,BALOX,WPT,N55-02-07.86,E013-25-37.08,,
M736,B,SALLO,WPT,N54-55-00.00,E013-23-10.31,,
M736,B,PEROM,WPT,N54-27-35.00,E013-08-16.01,,
M736,B,BAKDO,WPT,N54-07-22.98,E012-58-13.02,,
M736,B,LEGSA,WPT,N53-45-12.01,E012-47-22.98,,
M736,B,INDOK,WPT,N52-57-05.03,E012-07-56.04,,
M736,B,BIRMO,WPT,N52-52-19.99,E012-04-07.00,,
M736,B,SUVAL,WPT,N52-46-54.00,E011-59-46.98,,
M736,B,SOGMA,WPT,N52-38-07.02,E011-54-18.99,,
M736,B,GUGSU,WPT,N52-26-23.99,E011-52-16.01,,
M736,B,BUREL,WPT,N52-20-40.01,E011-51-15.99,,
M736,B,UBIGI,WPT,N52-12-38.99,E011-49-53.02,,
M736,B,LODRO,WPT,N52-07-25.98,E011-48-59.03,,
M736,B,MAG,VOR,N51-59-41.95,E011-47-39.46,,
M736,B,BARAP,WPT,N51-51-42.01,E011-43-00.99,,
M736,B,LUKOP,WPT,N51-29-46.02,E011-30-24.04,,
M736,B,GALMA,WPT,N51-23-53.00,E011-27-03.96,,
M736,B,SUVUT,WPT,N51-17-34.02,E011-27-40.97,,
M736,B,RELKO,WPT,N51-03-35.04,E011-29-02.00,,
M736,B,TABAT,WPT,N50-33-31.00,E011-31-53.03,,
M736,B,RONIG,WPT,N49-56-45.96,E011-55-57.02,,
M736,B,NIKUS,WPT,N49-51-13.03,E011-59-33.00,,
M736,B,AKOSI,WPT,N49-42-27.97,E012-05-10.03,,
M736,B,RUDNO,WPT,N49-20-08.96,E012-32-28.99,,
M736,B,RDG,VOR,N49-02-24.95,E012-31-35.54,,
M736,B,DOSEL,WPT,N48-26-19.01,E012-28-51.00,,
M736,B,MANAL,WPT,N47-53-58.01,E011-48-00.01,,
M736,B,TULSI,WPT,N47-42-05.78,E011-47-19.53,,
M736,B,BERAS,WPT,N47-21-33.68,E011-46-10.47,,
M736,B,MIMVI,WPT,N47-11-30.15,E011-45-36.95,,
M736,B,LIZUM,WPT,N47-06-54.22,E011-45-21.73,,
M736,B,OLPIX,WPT,N47-01-02.43,E011-41-25.12,,
M736,B,EKPEB,WPT,N46-41-25.03,E011-28-18.97,,
M736,B,NAXAV,WPT,N46-27-49.99,E011-19-20.02,,
M736,B,OZE,VOR,N46-24-18.71,E011-17-32.33,,
M736,B,BORMI,WPT,N46-02-09.98,E011-10-00.00,,
M736,B,LEDKO,WPT,N45-49-08.00,E011-05-19.02,,
M736,B,ADOSA,WPT,N45-38-39.98,E011-01-35.00,,
M736,B,KOPER,WPT,N45-09-14.02,E011-38-29.00,,
M736,B,ANC,VOR,N43-35-11.24,E013-28-15.98,,
M736,B,GERBU,WPT,N43-20-38.57,E013-37-25.98,,
M736,B,UTENO,WPT,N43-15-03.01,E013-40-56.02,,
M736,B,OTRET,WPT,N42-41-39.98,E014-01-36.00,,
M736,B,NAVAG,WPT,N42-34-49.02,E014-05-47.98,,
M736,B,PES,VOR,N42-26-09.06,E014-11-03.53,,
M736,B,UTAPO,WPT,N42-22-32.00,E014-10-21.98,,
M736,B,EKMIL,WPT,N42-10-05.01,E014-08-01.00,,
M736,B,KASTU,WPT,N41-48-51.97,E014-04-00.99,,
M736,B,ERIKA,WPT,N41-37-22.00,E014-01-51.99,,
M736,B,TEA,VOR,N41-17-48.37,E013-58-14.38,,
M736,B,SOR,VOR,N40-34-56.80,E014-20-06.12,,
M736,B,*EOA*, ,,,,
M737,B,IBERI,WPT,N42-09-38.98,E041-43-18.03,,
M737,B,KTS,VOR,N42-10-32.59,E042-29-05.27,,
M737,B,LOBIN,WPT,N42-10-53.99,E043-06-25.99,,
M737,B,BT,NDB,N42-05-22.98,E043-39-00.97,,
M737,B,GIMUR,WPT,N42-01-00.03,E044-07-56.03,,
M737,B,DF,NDB,N41-55-00.00,E044-33-55.97,,
M737,B,TBS,VOR,N41-40-13.72,E044-56-48.81,,
M737,B,DISKA,WPT,N41-27-49.98,E045-17-33.97,,
M737,B,NEVEB,WPT,N41-12-29.03,E045-39-26.02,,
M737,B,GND,VOR,N40-45-12.70,E046-17-43.83,,
M737,B,NETON,WPT,N39-45-42.00,E048-11-42.02,,
M737,B,*EOA*, ,,,,
M742,B,PAPIZ,WPT,N40-53-30.02,E018-57-06.02,,
M742,B,FASAN,WPT,N40-51-49.98,E017-25-36.96,,
M742,B,LUXIL,WPT,N40-49-09.00,E016-52-15.01,,
M742,B,BUMOK,WPT,N40-42-51.02,E015-40-11.00,,
M742,B,LUNAR,WPT,N40-41-25.97,E015-25-02.03,,
M742,B,GALTI,WPT,N40-38-23.98,E014-53-56.96,,
M742,B,SOR,VOR,N40-34-56.80,E014-20-06.12,,
M742,B,*EOA*, ,,,,
M743,B,ALM,VOR,N55-24-40.70,E013-33-27.13,,
M743,B,ROXUB,WPT,N55-15-47.00,E014-04-48.03,,
M743,B,ROE,VOR,N55-03-56.09,E014-45-31.30,,
M743,B,GORPI,WPT,N54-55-00.00,E015-39-18.01,,
M743,B,PIVET,WPT,N54-52-27.96,E015-50-23.03,,
M743,B,KARTI,WPT,N54-17-58.96,E018-12-29.01,,
M743,B,*EOA*, ,,,,
M747,B,INVED,WPT,N46-09-27.97,E020-24-05.03,,
M747,B,GITMU,WPT,N45-53-49.03,E021-18-51.99,,
M747,B,NEKUL,WPT,N45-31-00.00,E022-35-12.00,,
M747,B,AGNEP,WPT,N45-27-00.04,E022-57-35.03,,
M747,B,NERDI,WPT,N45-18-46.04,E023-42-10.97,,
M747,B,ENIMA,WPT,N45-04-45.97,E024-54-09.03,,
M747,B,SOKRU,WPT,N44-59-33.97,E025-19-49.04,,
M747,B,BALBI,WPT,N44-54-18.02,E025-45-14.99,,
M747,B,VEVIN,WPT,N44-42-46.97,E026-39-07.03,,
M747,B,IDARU,WPT,N44-38-24.48,E026-58-54.48,,
M747,B,DIRAL,WPT,N44-30-38.99,E027-33-14.98,,
M747,B,CND,VOR,N44-17-07.96,E028-28-42.04,,
M747,B,MOBLU,WPT,N44-11-46.00,E029-26-50.00,,
M747,B,AMLAV,WPT,N44-09-43.02,E029-45-57.98,,
M747,B,GALMI,WPT,N44-08-00.00,E030-01-31.98,,
M747,B,TALAM,WPT,N44-05-11.03,E030-26-18.99,,
M747,B,PESED,WPT,N43-55-40.01,E031-46-21.01,,
M747,B,ROPUT,WPT,N43-50-00.00,E032-30-05.97,,
M747,B,DOLOT,WPT,N43-42-05.98,E033-28-12.00,,
M747,B,MAPUT,WPT,N43-34-00.01,E034-23-48.01,,
M747,B,SOBLO,WPT,N43-15-00.00,E036-23-00.00,,
M747,B,*DIS*0, ,,,,
M747,B,IDLER,WPT,N42-29-24.04,E040-08-36.01,,
M747,B,IBERI,WPT,N42-09-38.98,E041-43-18.03,,
M747,B,BARUS,WPT,N41-54-14.02,E042-50-29.97,,
M747,B,LAGAS,WPT,N41-34-19.00,E044-13-52.99,,
M747,B,BARAD,WPT,N41-21-31.00,E045-05-00.03,,
M747,B,SUBUT,WPT,N40-53-56.98,E046-49-19.02,,
M747,B,INTEV,WPT,N40-48-33.00,E047-08-57.97,,
M747,B,LIMTI,WPT,N40-44-24.03,E047-23-48.02,,
M747,B,LUSAL,WPT,N40-35-00.00,E047-57-00.00,,
M747,B,ADGEN,WPT,N40-31-55.96,E048-09-29.00,,
M747,B,ETVOL,WPT,N40-18-32.98,E049-02-55.00,,
M747,B,AGDAM,WPT,N40-15-51.99,E049-13-17.00,,
M747,B,SULEL,WPT,N40-11-21.01,E049-30-42.01,,
M747,B,BODKA,WPT,N39-39-00.01,E051-30-00.00,,
M747,B,*EOA*, ,,,,
M748,B,TEGRI,WPT,N46-15-46.02,E021-06-15.97,,
M748,B,OVDOT,WPT,N44-32-20.03,E022-58-36.98,,
M748,B,OSTOV,WPT,N43-47-00.00,E023-48-00.00,,
M748,B,BESLI,WPT,N43-24-07.99,E024-02-02.97,,
M748,B,GOL,VOR,N43-05-42.03,E024-13-14.02,,
M748,B,*EOA*, ,,,,
M749,B,ARTUP,WPT,N50-41-06.83,E014-54-18.36,,
