*******************************************************************************
Database: 11702002
Sequence: CG5-1702-002
File size: 179712
Database effective from 02 FEB 2017 to 02 MAR 2017
Report compiled on Monday Dec 25 2023
OneNav+ Version: 1.18.0
*******************************************************************************
HONEYWELL PROPRIETARY AND CONFIDENTIAL
COPYRIGHT © 2011-2023
HONEYWELL INTERNATIONAL INC.
UNPUBLISHED WORK. ALL RIGHTS RESERVED 
*******************************************************************************
Summary
-------------------------
Table Name,Record Count
Airports,97
Airways,2135
Airway Legs,17205
Alternates,0
Company Routes,0
Company Route Legs,0
FuelPolicy,8
Airline Policy,0
HoldingPatterns,0
Gates,0
GridMORA,0
Navaids,1131
NDBs,264
Procedures ,5146
Procedure Legs,21583
Runways,286
Waypoints,9082

Airports
-------------------------
Ident,RevCode,Latitude,Longitude,MagVar,Elevation,SpeedLimitCoded,SpeedLimit,SpeedLimitAltitude,TransAltitude,ProceduresExist,RunwaysExist,GatesExist,AlternatesExist,ICAO,MaxRunwayLength,SIDs,STARs,Approaches,EOSIDs
OING,B,N36-54-40.97,E054-23-52.99,,0, ,,,6000,Y,Y,N,N,,9820,Y,Y,Y,N
OINZ,B,N36-38-09.03,E053-11-37.00,,40, ,,,4000,Y,Y,N,N,,8694,Y,Y,Y,N
OISL,B,N27-40-23.01,E054-23-13.98,,2640, ,,,9000,Y,Y,N,N,,10335,Y,Y,Y,N
OISS,B,N29-32-25.02,E052-35-19.01,,4930, ,,,13000,Y,Y,N,N,,14012,Y,N,Y,N
OITL,B,N38-19-35.99,E048-25-27.02,,4320, ,,,11500,Y,Y,N,N,,10820,Y,Y,Y,N
OITR,B,N37-40-17.00,E045-04-08.97,,4340, ,,,10000,Y,Y,N,N,,10669,Y,Y,Y,N
OITT,B,N38-08-02.00,E046-14-05.99,,4460, ,,,12000,Y,Y,N,N,,12326,Y,N,Y,N
OIYY,B,N31-54-22.03,E054-16-35.00,,4050, ,,,10000,Y,Y,N,N,,13451,Y,Y,Y,N
OIZC,B,N25-26-40.00,E060-23-00.98,,20, ,,,3000,Y,Y,N,N,,12418,Y,Y,Y,N
OIZH,B,N29-28-24.01,E060-54-12.00,,4520, ,,,11000,Y,Y,N,N,,13986,Y,Y,Y,N
OKBK,B,N29-13-36.36,E047-58-47.84,,200, ,,,13000,Y,Y,N,N,,11483,Y,Y,Y,N
OLBA,B,N33-49-08.58,E035-29-24.09,,90, ,,,13000,Y,Y,N,N,,12467,Y,Y,Y,N
OMAA,B,N24-25-59.01,E054-39-03.97,,80, ,,,13000,N,Y,N,N,,13471,N,N,N,N
OMDB,B,N25-15-10.02,E055-21-51.99,,60, ,,,13000,Y,Y,N,N,,14590,Y,Y,Y,N
OMDW,B,N24-55-06.04,E055-10-31.98,,170, ,,,13000,Y,Y,N,N,,14764,Y,Y,Y,N
OMSJ,B,N25-19-45.02,E055-30-57.98,,120, ,,,13000,N,Y,N,N,,13320,N,N,N,N
OPKC,B,N24-54-30.81,E067-09-45.98,,100, ,,,3000,Y,Y,N,N,,11155,Y,Y,Y,N
OPLA,B,N31-31-17.60,E074-24-16.51,,710, ,,,3000,N,Y,N,N,,11024,N,N,N,N
ORBI,B,N33-15-45.01,E044-14-04.04,,110, ,,,14000,Y,Y,N,N,,13123,Y,N,Y,N
ORER,B,N36-14-17.02,E043-56-47.99,,1360, ,,,14000,N,N,N,N,,0,N,N,N,N
ORKK,B,N35-28-10.08,E044-20-56.15,,1060, ,,,14000,N,N,N,N,,0,N,N,N,N
ORNI,B,N31-59-23.46,E044-24-15.61,,110, ,,,14000,Y,Y,N,N,,9843,Y,Y,Y,N
ORSU,B,N35-33-38.85,E045-18-52.99,,2490, ,,,14000,Y,Y,N,N,,11483,Y,Y,Y,N
OSAP,B,N36-10-49.76,E037-13-36.35,,1280, ,,,13000,N,Y,N,N,,9547,N,N,N,N
OSDI,B,N33-24-38.64,E036-30-52.04,,2020, ,,,13000,Y,Y,N,N,,11811,Y,Y,Y,N
OTBD,B,N25-15-39.84,E051-33-54.37,,40, ,,,13000,N,Y,N,N,,14993,N,N,N,N
OTHH,B,N25-16-28.43,E051-36-30.18,,10, ,,,13000,Y,Y,N,N,,15912,Y,Y,Y,N
UAAA,B,N43-21-19.97,E077-02-37.96,,2240, ,,,5180,Y,Y,N,N,,14764,Y,Y,Y,N
UBBB,B,N40-28-11.02,E050-03-05.02,,10, ,,,9000,Y,Y,N,N,,13123,Y,Y,Y,N
UBBG,B,N40-44-20.01,E046-19-11.96,,1090, ,,,7000,Y,Y,N,N,,10826,Y,Y,Y,N
UCFM,B,N43-03-40.60,E074-28-38.99,,2090, ,,,4400,Y,Y,N,N,,13793,Y,Y,Y,N
UDSG,B,N40-45-01.73,E043-51-33.59,,5000, ,,,11500,Y,Y,N,N,,10564,Y,Y,Y,N
UDYZ,B,N40-08-50.22,E044-23-45.17,,2840, ,,,11500,Y,Y,N,N,,12631,Y,Y,Y,N
UGSB,B,N41-36-36.65,E041-35-57.95,,110, ,,,7000,N,Y,N,N,,8202,N,N,N,N
UGTB,B,N41-40-08.93,E044-57-17.24,,1620, ,,,7600,Y,Y,N,N,,9843,Y,Y,Y,N
ULLI,B,N59-48-01.00,E030-15-45.02,,80, ,,,3030,Y,Y,N,N,,12402,Y,Y,Y,N
UMMS,B,N53-52-57.04,E028-01-51.04,,670, ,,,6000,Y,Y,N,N,,11946,Y,Y,Y,N
URMM,B,N44-13-36.54,E043-04-58.93,,1050, ,,,4000,Y,Y,N,N,,12795,Y,Y,Y,N
URRR,B,N47-15-30.00,E039-49-05.01,,280, ,,,3250,Y,Y,N,N,,8205,Y,Y,Y,N
URSS,B,N43-26-40.01,E039-56-49.04,,90, ,,,3700,N,Y,N,N,,9498,N,N,N,N
URWA,B,N46-17-00.03,E048-00-23.01,,-60, ,,,1910,N,Y,N,N,,10499,N,N,N,N
URWW,B,N48-46-49.02,E044-20-08.03,,480, ,,,2780,Y,Y,N,N,,9186,Y,Y,Y,N
UTAA,B,N37-59-30.00,E058-21-43.02,,690, ,,,12000,Y,Y,N,N,,12467,Y,Y,Y,N
UTDD,B,N38-32-36.04,E068-49-29.96,,2580, ,,,8500,Y,Y,N,N,,10210,Y,Y,Y,N
UTSB,B,N39-46-31.90,E064-28-56.44,,750, ,,,2720,Y,Y,N,N,,9843,Y,Y,Y,N
UTSS,B,N39-42-02.08,E066-59-00.03,,2230, ,,,4200,Y,Y,N,N,,10187,Y,Y,Y,N
UTTT,B,N41-15-24.00,E069-16-54.02,,1420, ,,,6000,Y,Y,N,N,,13123,Y,Y,Y,N
UUDD,B,N55-24-30.97,E037-54-23.02,,590, ,,,3880,N,Y,N,N,,12444,N,N,N,N
UUEE,B,N55-58-21.03,E037-24-47.02,,630, ,,,3910,Y,Y,N,N,,12139,Y,Y,Y,N
UUWW,B,N55-35-57.00,E037-16-22.98,,690, ,,,3970,Y,Y,N,N,,11483,Y,Y,Y,N
VAAH,B,N23-04-16.25,E072-37-35.15,,190, ,,,4000,Y,Y,N,N,,11500,Y,Y,Y,N
VABB,B,N19-05-29.99,E072-51-58.01,,40, ,,,4000,Y,Y,N,N,,11312,Y,Y,Y,N
VOGO,B,N15-22-51.02,E073-49-37.46,,190, ,,,6000,Y,Y,N,N,,11196,Y,Y,Y,N
<<< Record Count = 97>>>
AirwayFixes
-------------------------
Airway,RevCode,FixIdent,FixType,Latitude,Longitude,RNP,CTR
A100,B,MIMRA,WPT,N48-55-59.03,E040-24-54.04,,
A100,B,RAMOG,WPT,N48-06-53.03,E040-07-06.01,,
A100,B,NIKLU,WPT,N47-34-51.96,E039-55-40.98,,
A100,B,RND,VOR,N47-15-07.52,E039-48-47.94,,
A100,B,BEDUS,WPT,N46-36-22.99,E038-43-53.96,,
A100,B,ENILO,WPT,N46-10-30.00,E038-02-00.02,,
A100,B,RIDLA,WPT,N45-44-59.03,E037-21-53.98,,
A100,B,ARNAD,WPT,N45-21-00.00,E036-38-47.97,,
A100,B,*EOA*, ,,,,
A102,B,BABUR,WPT,N45-23-12.00,E049-30-00.00,,
A102,B,UP,NDB,N45-55-38.02,E047-03-37.01,,
A102,B,ABTON,WPT,N46-01-13.97,E046-46-17.02,,
A102,B,LUGEP,WPT,N46-25-05.99,E045-29-48.98,,
A102,B,BAKAM,WPT,N46-56-36.01,E043-37-51.99,,
A102,B,SOMRO,WPT,N47-05-08.01,E043-05-57.02,,
A102,B,TUBNA,WPT,N47-20-05.00,E042-08-11.00,,
A102,B,OBETI,WPT,N47-27-56.99,E041-36-49.01,,
A102,B,KA,NDB,N47-35-15.99,E041-06-54.01,,
A102,B,ABLOG,WPT,N47-48-19.97,E040-22-33.99,,
A102,B,KL,NDB,N47-53-07.02,E040-06-00.00,,
A102,B,DERIB,WPT,N47-55-35.03,E039-54-29.99,,
A102,B,NALEM,WPT,N47-57-00.00,E039-48-30.02,,
A102,B,*EOA*, ,,,,
A103,B,PINAX,WPT,N37-15-00.01,E069-06-00.00,,
A103,B,OKTAB,WPT,N38-10-54.03,E068-53-36.00,,
A103,B,DNB,VOR,N38-32-30.01,E068-48-41.99,,
A103,B,SX,NDB,N38-50-36.04,E068-50-24.04,,
A103,B,AMEMA,WPT,N39-20-00.00,E068-53-00.00,,
A103,B,PF,NDB,N40-03-00.00,E068-57-00.01,,
A103,B,RORTA,WPT,N40-08-24.03,E069-01-54.01,,
A103,B,ASBUG,WPT,N40-13-12.01,E069-06-17.97,,
A103,B,DILRO,WPT,N40-24-30.01,E069-16-36.03,,
A103,B,IRLOV,WPT,N40-42-30.01,E069-35-00.00,,
A103,B,LELBA,WPT,N40-54-53.98,E069-47-42.02,,
A103,B,PESEN,WPT,N40-58-53.99,E070-23-00.00,,
A103,B,UDALU,WPT,N40-59-47.99,E070-31-11.98,,
A103,B,OLUMU,WPT,N41-02-18.00,E070-54-00.00,,
A103,B,SUBAB,WPT,N41-09-11.97,E072-01-29.98,,
A103,B,NS,NDB,N41-12-06.01,E072-10-51.26,,
A103,B,*EOA*, ,,,,
A104,B,MOSON,WPT,N54-40-06.00,E031-02-29.03,,
A104,B,KOMOG,WPT,N55-08-26.99,E033-04-00.00,,
A104,B,RUBAG,WPT,N55-20-33.97,E033-59-49.97,,
A104,B,GUBON,WPT,N55-24-09.03,E034-16-43.00,,
A104,B,FK,NDB,N55-33-19.03,E035-01-19.01,,
A104,B,*EOA*, ,,,,
A106,B,PABRI,WPT,N45-14-54.99,E070-42-39.02,,
A106,B,ALAKO,WPT,N44-19-57.99,E073-59-02.99,,
A106,B,BOBRO,WPT,N44-06-47.97,E074-42-28.02,,
A106,B,BEKRO,WPT,N43-48-49.98,E075-39-52.02,,
A106,B,USUGA,WPT,N43-36-00.00,E076-19-34.03,,
A106,B,*EOA*, ,,,,
A107,B,KYLOB,WPT,N37-59-50.01,E069-48-23.96,,
A107,B,NAVOX,WPT,N38-05-00.00,E069-20-00.04,,
A107,B,DNB,VOR,N38-32-30.01,E068-48-41.99,,
A107,B,PR,NDB,N38-32-00.00,E068-24-06.02,,
A107,B,SOPNO,WPT,N38-32-36.04,E068-04-12.01,,
A107,B,PINUD,WPT,N38-33-12.03,E067-41-29.98,,
A107,B,ROBRA,WPT,N38-33-35.98,E067-31-54.02,,
A107,B,OKDOR,WPT,N38-34-29.98,E067-13-41.97,,
A107,B,REBNA,WPT,N38-35-36.02,E066-51-18.01,,
A107,B,INDUD,WPT,N38-37-06.02,E066-14-17.99,,
A107,B,YU,NDB,N39-03-03.48,E065-35-04.80,,
A107,B,TUDLI,WPT,N39-18-36.02,E065-11-41.98,,
A107,B,BUPOR,WPT,N39-46-29.97,E064-29-00.00,,
A107,B,KEMAB,WPT,N40-11-17.99,E063-38-53.98,,
A107,B,LURIB,WPT,N40-41-54.02,E062-35-11.99,,
A107,B,IVLUS,WPT,N41-11-23.99,E061-31-23.99,,
A107,B,URG,VOR,N41-34-44.10,E060-39-17.93,,
A107,B,DIDIR,WPT,N42-02-30.03,E060-08-12.02,,
A107,B,NAKUK,WPT,N42-29-18.01,E059-37-24.02,,
A107,B,IPNAR,WPT,N42-44-36.02,E059-05-47.98,,
A107,B,TARAM,WPT,N43-50-35.97,E056-42-05.99,,
A107,B,URASA,WPT,N44-08-48.02,E056-00-00.00,,
A107,B,*EOA*, ,,,,
A108,B,ABULU,WPT,N48-01-39.02,E055-55-32.02,,
A108,B,ODPUT,WPT,N47-30-03.98,E055-38-46.02,,
A108,B,PEMOL,WPT,N46-48-41.01,E055-17-20.00,,
A108,B,NESDO,WPT,N45-49-26.00,E054-47-38.98,,
A108,B,AGNIM,WPT,N45-32-21.00,E054-39-18.03,,
A108,B,BODSI,WPT,N44-50-34.01,E054-19-13.97,,
A108,B,NUMGA,WPT,N44-12-17.98,E054-03-33.02,,
A108,B,RINIT,WPT,N43-53-04.98,E053-55-48.99,,
A108,B,BAPER,WPT,N43-30-10.97,E053-46-42.00,,
A108,B,TIROM,WPT,N42-14-33.99,E053-17-19.98,,
A108,B,*EOA*, ,,,,
A110,B,BESIR,WPT,N44-19-00.98,E078-12-20.00,,
A110,B,DOTAL,WPT,N44-07-44.98,E078-09-04.02,,
A110,B,*EOA*, ,,,,
A112,B,AZABI,WPT,N44-44-23.99,E049-30-00.00,,
A112,B,ATNUR,WPT,N44-45-59.01,E050-09-48.02,,
A112,B,PIRIM,WPT,N44-48-08.01,E051-17-40.98,,
A112,B,AGILA,WPT,N44-49-01.00,E051-54-21.99,,
A112,B,ALOTO,WPT,N44-50-09.98,E053-06-52.96,,
A112,B,BODSI,WPT,N44-50-34.01,E054-19-13.97,,
A112,B,AGNIM,WPT,N45-32-21.00,E054-39-18.03,,
A112,B,NESDO,WPT,N45-49-26.00,E054-47-38.98,,
A112,B,PEMOL,WPT,N46-48-41.01,E055-17-20.00,,
A112,B,ODPUT,WPT,N47-30-03.98,E055-38-46.02,,
A112,B,ABULU,WPT,N48-01-39.02,E055-55-32.02,,
A112,B,*EOA*, ,,,,
A113,B,ELSEB,WPT,N46-32-36.04,E067-54-42.00,,
A113,B,OBAMA,WPT,N46-02-11.99,E069-02-36.04,,
A113,B,PABRI,WPT,N45-14-54.99,E070-42-39.02,,
A113,B,RITMU,WPT,N44-18-05.98,E072-36-03.00,,
A113,B,NT,NDB,N43-41-45.97,E073-44-53.97,,
A113,B,DEKED,WPT,N43-36-52.97,E074-13-06.00,,
A113,B,AGLEK,WPT,N43-30-44.96,E074-47-44.04,,
A113,B,BINRI,WPT,N43-26-07.03,E075-13-08.98,,
A113,B,EKLAT,WPT,N43-22-30.04,E075-32-36.97,,
A113,B,ATA,VOR,N43-22-35.52,E077-05-02.80,,
A113,B,TIRBA,WPT,N43-34-56.02,E077-30-30.99,,
A113,B,BAGNA,WPT,N43-47-53.98,E077-57-18.98,,
A113,B,DOTAL,WPT,N44-07-44.98,E078-09-04.02,,
A113,B,MINPO,WPT,N44-15-36.97,E078-16-20.00,,
A113,B,*EOA*, ,,,,
A114,B,TRZ,VOR,N37-17-12.11,E067-19-03.78,,
A114,B,OKBAB,WPT,N37-59-00.03,E067-35-23.98,,
A114,B,RASID,WPT,N38-15-00.00,E067-42-00.03,,
A114,B,BESAG,WPT,N38-43-05.99,E067-51-48.03,,
A114,B,OLRAM,WPT,N39-01-30.01,E067-58-24.01,,
A114,B,MOSOM,WPT,N39-34-00.00,E068-10-00.01,,
A114,B,VAMUK,WPT,N40-34-00.02,E068-34-30.03,,
A114,B,AKAZU,WPT,N40-42-17.96,E068-38-17.99,,
A114,B,CV,NDB,N40-48-36.17,E068-40-55.88,,
A114,B,USOLO,WPT,N40-58-29.97,E069-23-12.00,,
A114,B,*EOA*, ,,,,
A116,B,RAPTA,WPT,N37-27-00.00,E065-38-00.00,,
A116,B,AGART,WPT,N38-09-00.01,E066-03-00.00,,
A116,B,INDUD,WPT,N38-37-06.02,E066-14-17.99,,
A116,B,ALABU,WPT,N39-29-18.02,E066-22-00.01,,
A116,B,OGNOB,WPT,N39-44-36.03,E066-24-17.98,,
A116,B,*EOA*, ,,,,
A117,B,ASB,VOR,N38-00-11.41,E058-20-08.31,,
A117,B,URABA,WPT,N38-13-26.98,E059-19-23.02,,
A117,B,DUTAR,WPT,N38-39-18.03,E061-23-05.97,,
A117,B,LBA,VOR,N39-05-24.00,E063-36-42.04,,
A117,B,*DIS*0, ,,,,
A117,B,BUPOR,WPT,N39-46-29.97,E064-29-00.00,,
A117,B,TOLIB,WPT,N39-45-35.98,E065-40-05.99,,
A117,B,OGNOB,WPT,N39-44-36.03,E066-24-17.98,,
A117,B,MZ,NDB,N39-42-18.92,E066-55-08.98,,
A117,B,RONVU,WPT,N39-45-06.00,E067-16-29.98,,
A117,B,TITAR,WPT,N40-07-48.03,E067-46-18.03,,
A117,B,NETAT,WPT,N40-36-53.99,E068-24-11.97,,
A117,B,IPRAR,WPT,N40-44-29.98,E068-34-48.03,,
A117,B,CV,NDB,N40-48-36.17,E068-40-55.88,,
A117,B,ABGEN,WPT,N40-57-42.00,E068-42-47.97,,
A117,B,ABEKA,WPT,N41-07-05.98,E068-44-41.98,,
A117,B,DODUR,WPT,N41-23-00.00,E068-48-00.00,,
A117,B,MIKNO,WPT,N42-02-00.00,E068-12-00.00,,
A117,B,RELRU,WPT,N42-49-25.01,E068-18-12.00,,
A117,B,GENDI,WPT,N43-18-00.00,E068-22-00.03,,
A117,B,*EOA*, ,,,,
A118,B,SMK,VOR,N42-21-32.13,E069-30-14.39,,
A118,B,BEDNU,WPT,N42-00-06.96,E069-26-21.02,,
A118,B,BAMUT,WPT,N41-51-24.00,E069-24-48.02,,
A118,B,DODUR,WPT,N41-23-00.00,E068-48-00.00,,
A118,B,DIBAD,WPT,N41-17-00.02,E067-56-00.02,,
A118,B,OKESO,WPT,N41-10-51.01,E067-36-08.01,,
A118,B,ASLOK,WPT,N41-05-47.96,E067-19-53.99,,
A118,B,EVROB,WPT,N40-44-29.98,E066-32-11.97,,
A118,B,AGDOS,WPT,N40-23-47.99,E065-46-54.01,,
A118,B,NVI,VOR,N40-06-53.42,E065-10-35.09,,
A118,B,INSOM,WPT,N40-00-35.99,E064-57-41.99,,
A118,B,BUPOR,WPT,N39-46-29.97,E064-29-00.00,,
A118,B,CHARD,WPT,N39-15-30.00,E063-49-24.01,,
A118,B,LBA,VOR,N39-05-24.00,E063-36-42.04,,
A118,B,VATIN,WPT,N38-48-50.98,E061-14-44.02,,
A118,B,TENGA,WPT,N38-46-34.02,E060-55-08.00,,
A118,B,ABDAN,WPT,N38-35-41.97,E059-22-00.00,,
A118,B,*EOA*, ,,,,
A119,B,DODUR,WPT,N41-23-00.00,E068-48-00.00,,
A119,B,ODORI,WPT,N41-59-00.99,E068-49-08.02,,
A119,B,ARSUL,WPT,N42-26-00.03,E068-50-00.01,,
A119,B,*EOA*, ,,,,
A121,B,SMK,VOR,N42-21-32.13,E069-30-14.39,,
